chromosome	position
2	27482871
2	27482777
5	168468333
5	168463281
1	241222672
3	183084768
3	183084850
3	183085021
4	58956243
4	58959782
4	58958602
4	58957188
4	58956482
4	133663063
4	133663191
3	176805947
2	153512659
2	153511544
2	153510870
8	126077546
9	9967786
1	224100648
7	82649308
6	89827802
2	2539982
3	42889686
8	167092756
1	22253283
10	117991482
3	215181142
4	53441525
4	3412000
4	3412057
4	40699977
10	148972870
6	152973272
8	156724363
10	10882576
7	30680938
4	151538378
3	156482775
10	29222679
1	7864116
9	30074592
7	8061660
3	191612649
2	5839907
3	217695856
3	1292016
4	52098226
5	2926821
7	20247641
1	83780916
4	191767453
9	26819302
2	11201284
4	26614895
2	193644607
6	166592099
6	167018795
5	71846725
6	157819021
5	44407599
9	137161060
9	150197564
2	198859433
10	80719215
10	80719268
9	17750933
5	10102061
3	161257992
8	138143276
3	145763754
3	216345579
8	152766279
9	28620000
4	119701702
3	178603139
2	236046926
2	236047048
3	134289326
3	31898366
4	178502179
8	172677137
1	250067201
1	250067107
5	162680869
2	207841753
2	207841889
8	158113181
10	29885529
1	285144424
10	23215344
9	87814483
7	155618814
7	155618554
8	5319559
9	153607154
9	153607090
1	279418573
8	68935374
5	157145099
3	193757793
3	156483037
2	102751133
5	175653483
10	70278799
10	70278812
5	5287947
1	188083114
1	188083030
6	655974
2	208530886
6	102754576
3	230607267
3	230607205
4	185522892
5	216741249
5	8259957
8	1831996
4	235724555
8	1832328
2	176244039
7	154456362
8	65786342
4	143083142
2	22703885
7	159727557
7	159727684
4	161070949
1	293151079
1	293151160
1	273983998
3	13686330
9	142293132
5	6688415
1	161027955
6	31869486
6	31869592
3	43230424
7	82007235
1	201486854
1	201486679
9	145041919
2	137977389
5	206015849
4	53079579
3	121073008
3	121072871
3	140726385
10	61794344
7	33227758
7	19494829
6	106964538
3	211146412
3	211146832
3	211146466
3	211146587
3	211146674
5	14339487
4	21136656
7	151410381
6	160034541
6	160034634
7	157601971
7	157602034
1	263200484
1	162594097
1	162593622
3	5788501
1	254094770
1	254094758
2	3806293
2	3806575
1	189146267
6	58445736
1	258365782
2	32492434
1	45513087
1	249538273
2	232594713
4	197714381
2	236046842
2	236046853
10	59439146
5	212755107
7	164203899
4	843218
4	843215
5	200824929
6	150889541
10	61794305
3	205407552
8	145842556
10	123189636
5	181396317
5	181396326
2	6641268
2	208531422
1	223785304
4	235165782
3	195315915
6	145126299
6	145126278
